brand,model,engine_cc,age_months,km_driven,owners,condition,launch_price,price
Bajaj,Pulsar NS200,199,79,48750,1,Fair,135820,29736
Royal Enfield,Meteor 350,349,18,21739,1,Excellent,242820,182921
KTM,Duke 200,199,93,59721,3,Poor,245820,38938
Suzuki,V-Strom SX,249,10,11146,1,Good,149820,117568
Hero,HF Deluxe,97,33,31232,1,Good,97460,50556
Bajaj,Pulsar NS200,199,10,5933,1,Excellent,135820,118245
Royal Enfield,Classic 350,349,27,27428,2,Good,242820,133478
Yamaha,FZ-FI,149,22,27162,1,Excellent,141820,99276
TVS,Radeon,109,56,50729,1,Fair,109620,26137
Yamaha,MT-15,155,26,28232,2,Fair,142900,70175
Triumph,Speed 400,398,72,48316,1,Fair,311640,68288
Bajaj,Pulsar NS200,199,25,14986,1,Good,135820,84183
TVS,Radeon,109,30,25106,1,Good,109620,60957
Royal Enfield,Meteor 350,349,66,65761,1,Good,242820,58443
TVS,Radeon,109,65,36386,2,Fair,109620,23110
Bajaj,Dominar 400,373,6,3834,1,Excellent,167140,154035
Yamaha,R15 V4,155,35,21642,1,Excellent,142900,79653
Bajaj,Dominar 400,373,17,12284,1,Good,167140,118392
Honda,Hornet 2.0,184,63,43577,3,Good,138120,30231
Triumph,Speed 400,398,91,64888,1,Fair,311640,66057
Suzuki,V-Strom SX,249,10,9656,3,Excellent,149820,112708
TVS,Apache RTR 160,159,69,39428,1,Fair,118620,26448
Suzuki,Gixxer,155,90,97022,2,Fair,132900,24746
KTM,Duke 250,249,75,78445,1,Poor,254820,44643
Royal Enfield,Meteor 350,349,3,2618,1,Excellent,242820,232975
Yamaha,MT-15,155,26,25116,4,Good,142900,66629
KTM,390 Duke,399,79,85097,2,Poor,281820,45763
KTM,Duke 200,199,39,25368,3,Good,245820,98807
Bajaj,Pulsar NS200,199,53,38512,1,Fair,135820,36809
Yamaha,FZ-FI,149,15,17637,1,Excellent,141820,112600
KTM,RC 200,199,20,22001,2,Excellent,245820,168659
KTM,Duke 200,199,66,51257,2,Fair,245820,50340
KTM,Duke 250,249,85,52937,1,Poor,254820,47029
TVS,Sport,109,25,26536,1,Fair,109620,58455
Suzuki,V-Strom SX,249,82,67457,1,Poor,149820,26852
Suzuki,V-Strom SX,249,89,108544,1,Poor,149820,24591
Suzuki,Gixxer,155,56,47600,1,Good,132900,36269
Honda,Shine,123,24,14881,1,Excellent,127140,88098
TVS,Radeon,109,92,68255,3,Poor,109620,17065
TVS,Radeon,109,65,62962,2,Good,109620,24942
KTM,390 Duke,399,55,54495,2,Fair,281820,64987
Suzuki,Gixxer,155,38,44417,1,Excellent,132900,66517
Bajaj,Pulsar 125,125,72,62827,3,Fair,122500,22685
Hero,HF Deluxe,97,11,13671,1,Good,97460,75087
Suzuki,V-Strom SX,249,16,17195,1,Excellent,149820,117307
Royal Enfield,Meteor 350,349,78,84045,1,Poor,242820,42041
Royal Enfield,Himalayan,452,78,87695,2,Poor,261360,42207
Honda,Hornet 2.0,184,41,26255,1,Good,138120,60832
TVS,Radeon,109,31,35271,1,Good,109620,58668
KTM,RC 200,199,81,95686,2,Fair,245820,45905
KTM,Duke 250,249,35,42487,2,Fair,254820,102642
Suzuki,Gixxer,155,1,1000,1,Excellent,132900,131068
Yamaha,R15 V4,155,46,24789,3,Good,142900,48422
Honda,SP 125,124,13,11888,2,Good,127320,89952
Royal Enfield,Classic 350,349,49,44099,2,Good,242820,78782
Royal Enfield,Himalayan,452,45,25382,1,Fair,261360,91786
Yamaha,R15 V4,155,69,68478,1,Fair,142900,30068
KTM,Duke 250,249,27,33153,2,Excellent,254820,152260
Royal Enfield,Himalayan,452,33,29312,4,Fair,261360,93308
KTM,Duke 200,199,89,101574,1,Poor,245820,40978
Royal Enfield,Himalayan,452,67,76921,1,Good,261360,61472
KTM,Duke 250,249,17,15116,3,Excellent,254820,171666
Suzuki,Gixxer,155,89,90273,1,Fair,132900,26713
TVS,Apache RTR 200 4V,197,71,82097,2,Fair,125460,24121
TVS,Sport,109,86,49949,1,Fair,109620,23943
Hero,Splendor Plus,97,28,23728,3,Good,97460,49045
Royal Enfield,Meteor 350,349,61,42778,1,Fair,242820,53789
TVS,Apache RTR 200 4V,197,90,95014,1,Fair,125460,24960
KTM,Duke 250,249,13,7646,1,Good,254820,193018
Honda,Shine,123,16,9942,1,Excellent,127140,100890
KTM,RC 200,199,11,9757,1,Excellent,245820,209624
Triumph,Speed 400,398,80,40415,2,Fair,311640,65191
Hero,Passion Pro,110,62,55116,1,Good,99800,24542
Honda,SP 125,124,45,46994,3,Good,127320,42445
Royal Enfield,Meteor 350,349,20,21593,1,Excellent,242820,177370
Hero,Splendor Plus,97,27,30539,3,Fair,97460,43333
Honda,SP 125,124,94,53462,1,Poor,127320,23473
Suzuki,V-Strom SX,249,71,70808,1,Good,149820,35687
TVS,Apache RTR 200 4V,197,1,1000,1,Good,125460,112595
Royal Enfield,Hunter 350,349,9,6298,1,Excellent,242820,214140
Royal Enfield,Himalayan,452,7,4293,1,Excellent,261360,237555
Honda,Shine,123,5,5296,1,Excellent,127140,118372
KTM,390 Duke,399,76,41214,2,Poor,281820,50032
Royal Enfield,Meteor 350,349,18,20535,1,Excellent,242820,183334
Triumph,Speed 400,398,94,107299,1,Fair,311640,60348
Royal Enfield,Classic 350,349,50,35750,1,Fair,242820,72702
TVS,Sport,109,6,5231,2,Excellent,109620,94723
Honda,Shine,123,25,15550,1,Excellent,127140,86506
TVS,Sport,109,31,30470,1,Fair,109620,52052
TVS,Apache RTR 200 4V,197,11,10910,1,Good,125460,97152
Royal Enfield,Himalayan,452,78,92150,2,Poor,261360,41805
Yamaha,MT-15,155,84,93028,1,Fair,142900,28553
Honda,Hornet 2.0,184,4,3205,3,Excellent,138120,113736
KTM,Duke 250,249,48,45583,2,Good,254820,84837
TVS,Sport,109,82,85587,1,Fair,109620,22255
Royal Enfield,Classic 350,349,11,10162,1,Excellent,242820,206912
Suzuki,V-Strom SX,249,77,54377,1,Fair,149820,32437
Bajaj,Pulsar 150,149,92,69881,4,Fair,126820,20754
Honda,SP 125,124,9,8056,1,Good,127320,101849
KTM,390 Duke,399,36,29584,1,Fair,281820,121239
TVS,Apache RTR 160,159,54,63369,1,Good,118620,33662
Suzuki,V-Strom SX,249,9,8366,4,Excellent,149820,102669
Triumph,Speed 400,398,5,4161,1,Excellent,311640,290747
Hero,Splendor Plus,97,16,17902,2,Good,97460,65190
Bajaj,Pulsar 150,149,71,84003,2,Fair,126820,24284
Hero,Passion Pro,110,35,42024,3,Good,99800,42360
Bajaj,Pulsar NS200,199,68,77468,1,Fair,135820,28051
Royal Enfield,Hunter 350,349,47,25523,1,Fair,242820,80804
Bajaj,Pulsar 125,125,90,93561,1,Fair,122500,24448
Triumph,Speed 400,398,95,110665,1,Fair,311640,59894
KTM,390 Duke,399,32,29498,1,Good,281820,149589
Suzuki,V-Strom SX,249,9,10643,1,Excellent,149820,131079
Bajaj,Dominar 400,373,18,11520,1,Good,167140,116771
Bajaj,Dominar 400,373,28,28719,1,Good,167140,95771
Yamaha,FZ-FI,149,90,58460,1,Fair,141820,30455
Bajaj,Pulsar NS200,199,54,32487,3,Fair,135820,31329
Bajaj,Pulsar 125,125,9,7215,2,Good,122500,92255
Bajaj,Pulsar 125,125,60,56728,2,Fair,122500,24814
KTM,Duke 200,199,48,54851,2,Fair,245820,70640
Honda,Shine,123,76,47146,2,Fair,127140,26248
TVS,Sport,109,27,14954,1,Good,109620,65618
Hero,Splendor Plus,97,9,6248,1,Excellent,97460,85956
Hero,HF Deluxe,97,23,19907,1,Excellent,97460,68032
Royal Enfield,Classic 350,349,82,79638,1,Fair,242820,49922
Yamaha,R15 V4,155,80,97577,1,Fair,142900,28272
Triumph,Speed 400,398,91,89614,1,Fair,311640,62729
Bajaj,Pulsar 150,149,75,38346,1,Poor,126820,24085
Honda,Shine,123,19,17142,1,Excellent,127140,95123
Suzuki,Gixxer,155,59,45874,1,Fair,132900,29262
Royal Enfield,Classic 350,349,20,18480,3,Excellent,242820,155211
Royal Enfield,Meteor 350,349,37,36617,2,Good,242820,107874
Hero,HF Deluxe,97,4,3502,1,Excellent,97460,92197
Hero,Splendor Plus,97,30,17622,1,Good,97460,54960
Bajaj,Dominar 400,373,75,84560,1,Fair,167140,34007
Suzuki,V-Strom SX,249,57,30440,1,Fair,149820,35799
Hero,HF Deluxe,97,91,57499,2,Fair,97460,19711
Royal Enfield,Meteor 350,349,20,12025,1,Good,242820,164299
Hero,Splendor Plus,97,80,86374,1,Fair,97460,19753
KTM,390 Duke,399,32,16493,4,Good,281820,119563
Royal Enfield,Classic 350,349,74,91770,2,Fair,242820,45731
Bajaj,Dominar 400,373,32,29374,2,Excellent,167140,91663
Yamaha,R15 V4,155,50,60350,2,Fair,142900,38314
Hero,HF Deluxe,97,85,67471,1,Fair,97460,20549
Triumph,Speed 400,398,70,82952,3,Good,311640,62965
Suzuki,Gixxer,155,38,29100,1,Good,132900,62344
TVS,Apache RTR 160,159,34,32159,1,Excellent,118620,66158
Honda,Hornet 2.0,184,78,79093,2,Fair,138120,26723
Bajaj,Dominar 400,373,33,19339,1,Good,167140,88668
Bajaj,Pulsar NS200,199,35,41681,1,Good,135820,66307
TVS,Sport,109,66,72086,2,Fair,109620,21521
KTM,RC 200,199,93,93150,1,Poor,245820,41739
KTM,390 Duke,399,82,61500,1,Fair,281820,60149
Hero,HF Deluxe,97,28,27946,1,Fair,97460,49166
Royal Enfield,Hunter 350,349,25,24654,1,Fair,242820,129944
Hero,Passion Pro,110,26,21605,1,Fair,99800,52793
Triumph,Speed 400,398,68,39606,2,Fair,311640,65293
Bajaj,Pulsar NS200,199,73,63640,1,Poor,135820,24533
BMW,G 310 R,313,47,27342,2,Good,406340,144087
Bajaj,Pulsar 150,149,76,77997,3,Poor,126820,19348
KTM,Duke 250,249,40,36876,1,Good,254820,112577
Honda,Shine,123,83,76955,1,Fair,127140,26286
Bajaj,Pulsar 150,149,89,95658,2,Poor,126820,20131
TVS,Apache RTR 200 4V,197,90,102215,1,Fair,125460,24570
Royal Enfield,Himalayan,452,30,30967,3,Good,261360,125046
Hero,Passion Pro,110,79,77914,2,Poor,99800,16453
Yamaha,FZ-FI,149,60,51166,1,Good,141820,35151
Suzuki,Gixxer,155,69,38152,1,Good,132900,33790
KTM,390 Duke,399,54,45987,1,Fair,281820,72791
Suzuki,V-Strom SX,249,48,51475,1,Good,149820,52450
Bajaj,Pulsar 150,149,85,54735,1,Fair,126820,27438
TVS,Apache RTR 160,159,33,28175,3,Good,118620,53845
Hero,Splendor Plus,97,77,52539,1,Poor,97460,18001
Hero,Passion Pro,110,68,55552,2,Good,99800,23049
Hero,Splendor Plus,97,72,48489,2,Good,97460,22827
Royal Enfield,Classic 350,349,61,57290,1,Good,242820,59453
Royal Enfield,Himalayan,452,28,31404,3,Good,261360,129627
Hero,Passion Pro,110,59,47081,3,Good,99800,21694
Hero,Passion Pro,110,15,8223,2,Good,99800,68966
Suzuki,V-Strom SX,249,37,26821,2,Excellent,149820,74521
KTM,Duke 200,199,38,26614,3,Fair,245820,88614
Bajaj,Dominar 400,373,14,17288,1,Excellent,167140,134733
Royal Enfield,Himalayan,452,1,1000,3,Good,261360,204067
Yamaha,FZ-FI,149,75,78509,1,Poor,141820,24842
KTM,Duke 200,199,63,66242,1,Fair,245820,51962
BMW,G 310 R,313,2,1292,1,Good,406340,360055
Hero,Passion Pro,110,51,49396,1,Fair,99800,28223
KTM,RC 200,199,45,23623,1,Excellent,245820,108268
Honda,Shine,123,81,81883,2,Poor,127140,20786
TVS,Apache RTR 200 4V,197,59,48633,3,Good,125460,27189
Hero,Passion Pro,110,12,13457,1,Good,99800,75857
TVS,Radeon,109,2,1983,1,Excellent,109620,106607
Bajaj,Dominar 400,373,42,50925,1,Excellent,167140,75302
Honda,SP 125,124,58,53592,2,Fair,127320,26298
KTM,Duke 200,199,34,33845,3,Excellent,245820,118894
Yamaha,FZ-FI,149,40,48693,2,Good,141820,57553
TVS,Apache RTR 160,159,35,30977,1,Good,118620,59116
Hero,HF Deluxe,97,36,21554,1,Good,97460,48420
Bajaj,Pulsar 150,149,42,29439,3,Good,126820,47161
TVS,Radeon,109,72,57782,2,Fair,109620,22158
KTM,RC 200,199,26,16993,1,Excellent,245820,163951
Bajaj,Dominar 400,373,91,57063,3,Poor,167140,26617
BMW,G 310 R,313,67,70901,1,Fair,406340,85075
Royal Enfield,Himalayan,452,83,96182,1,Fair,261360,51866
Honda,Hornet 2.0,184,47,43285,2,Good,138120,47498
Triumph,Speed 400,398,47,55380,3,Fair,311640,85142
Hero,Passion Pro,110,72,48795,2,Fair,99800,20537
Royal Enfield,Himalayan,452,15,15467,2,Good,261360,178221
Royal Enfield,Himalayan,452,35,41420,3,Fair,261360,97639
Royal Enfield,Himalayan,452,85,76244,1,Fair,261360,54117
Honda,Shine,123,54,39190,1,Good,127140,37852
Bajaj,Pulsar 150,149,4,3295,1,Excellent,126820,120016
Hero,HF Deluxe,97,8,4103,1,Excellent,97460,87453
Bajaj,Pulsar 125,125,20,21083,1,Good,122500,81505
Yamaha,R15 V4,155,81,84335,1,Fair,142900,29089
Royal Enfield,Classic 350,349,20,12415,3,Good,242820,142837
Bajaj,Pulsar 150,149,11,13583,1,Good,126820,97723
BMW,G 310 R,313,73,72428,2,Poor,406340,67761
TVS,Radeon,109,39,30291,1,Good,109620,50175
Royal Enfield,Himalayan,452,80,59804,1,Fair,261360,55974
Bajaj,Pulsar NS200,199,24,19267,2,Excellent,135820,87749
Bajaj,Pulsar NS200,199,79,82785,1,Fair,135820,27739
Royal Enfield,Classic 350,349,10,11231,1,Good,242820,190519
Royal Enfield,Classic 350,349,22,16701,3,Excellent,242820,150808
KTM,390 Duke,399,10,9456,1,Good,281820,221840
Suzuki,V-Strom SX,249,73,81750,1,Fair,149820,30665
Honda,Shine,123,92,50528,1,Fair,127140,27738
Hero,Splendor Plus,97,50,51660,1,Fair,97460,28287
Yamaha,FZ-FI,149,93,62115,1,Poor,141820,25696
Honda,SP 125,124,59,41839,1,Fair,127320,28255
Yamaha,R15 V4,155,74,61859,2,Fair,142900,28648
BMW,G 310 R,313,45,50700,2,Good,406340,145296
Bajaj,Pulsar 125,125,66,43069,1,Fair,122500,27120
Hero,Splendor Plus,97,16,13375,1,Good,97460,69935
Suzuki,Gixxer,155,81,79950,1,Fair,132900,27305
BMW,G 310 R,313,80,46375,3,Fair,406340,77761
Bajaj,Pulsar 125,125,51,47033,2,Fair,122500,32716
Hero,HF Deluxe,97,57,30454,2,Fair,97460,21890
TVS,Radeon,109,6,3657,1,Good,109620,91962
Suzuki,V-Strom SX,249,72,55107,1,Fair,149820,32390
Royal Enfield,Hunter 350,349,30,19665,2,Excellent,242820,140909
Royal Enfield,Classic 350,349,70,45050,2,Fair,242820,50338
Honda,Hornet 2.0,184,36,27496,1,Good,138120,67858
TVS,Sport,109,40,32067,2,Excellent,109620,50489
TVS,Radeon,109,1,1000,1,Excellent,109620,108109
Yamaha,FZ-FI,149,40,44001,2,Good,141820,58086
Hero,Passion Pro,110,31,26795,1,Fair,99800,47721
Honda,SP 125,124,35,27843,1,Good,127320,63831
Hero,Passion Pro,110,6,5950,1,Good,99800,83376
Royal Enfield,Himalayan,452,25,19437,3,Good,261360,139775
Royal Enfield,Hunter 350,349,42,40644,1,Good,242820,101581
Hero,Splendor Plus,97,14,14199,1,Excellent,97460,79014
Royal Enfield,Himalayan,452,51,33843,1,Good,261360,86659
Honda,Shine,123,93,86693,1,Fair,127140,25752
BMW,G 310 R,313,34,24707,1,Good,406340,209168
Suzuki,Gixxer,155,63,31742,1,Good,132900,34208
Royal Enfield,Classic 350,349,79,54574,2,Fair,242820,49398
KTM,390 Duke,399,78,96951,1,Poor,281820,47458
KTM,RC 200,199,27,28414,1,Fair,245820,126140
Triumph,Speed 400,398,85,48409,2,Fair,311640,64179
Royal Enfield,Himalayan,452,16,17951,2,Excellent,261360,192093
KTM,390 Duke,399,33,20233,1,Fair,281820,131215
Honda,SP 125,124,40,22363,1,Good,127320,57822
Yamaha,MT-15,155,25,15774,1,Good,142900,88442
Royal Enfield,Himalayan,452,76,75634,2,Fair,261360,50935
Hero,HF Deluxe,97,42,31321,2,Fair,97460,34302
Suzuki,Gixxer,155,17,17332,2,Excellent,132900,96338
Bajaj,Pulsar 150,149,73,62276,2,Fair,126820,25403
Honda,SP 125,124,58,51552,1,Fair,127320,28090
Suzuki,Gixxer,155,57,58732,1,Good,132900,34176
Royal Enfield,Hunter 350,349,48,59107,1,Fair,242820,73601
Royal Enfield,Hunter 350,349,2,2073,3,Good,242820,186926
Yamaha,R15 V4,155,32,39975,2,Excellent,142900,76790
KTM,Duke 250,249,24,29803,3,Good,254820,135933
Royal Enfield,Meteor 350,349,79,75535,1,Fair,242820,50353
KTM,Duke 200,199,28,30792,1,Excellent,245820,154177
Yamaha,R15 V4,155,54,52992,2,Good,142900,38923
Suzuki,Gixxer,155,46,42041,1,Excellent,132900,55033
Royal Enfield,Himalayan,452,48,55925,1,Fair,261360,79729
TVS,Sport,109,11,7623,1,Excellent,109620,93844
Royal Enfield,Classic 350,349,63,68189,4,Good,242820,45359
Royal Enfield,Hunter 350,349,49,60897,2,Good,242820,76195
TVS,Sport,109,38,45173,1,Good,109620,49853
Triumph,Speed 400,398,90,81995,3,Fair,311640,55466
Triumph,Speed 400,398,41,35574,1,Good,311640,134840
Bajaj,Pulsar 150,149,69,61700,1,Fair,126820,27056
Honda,Shine,123,26,14725,1,Fair,127140,68123
TVS,Radeon,109,56,47679,2,Fair,109620,24717
Hero,HF Deluxe,97,56,50443,1,Good,97460,26448
Suzuki,Gixxer,155,15,16381,1,Good,132900,96245
Royal Enfield,Meteor 350,349,15,15953,2,Good,242820,165429
Hero,Passion Pro,110,7,5909,2,Good,99800,77366
KTM,Duke 200,199,23,28626,2,Good,245820,144394
Honda,Shine,123,62,47825,1,Good,127140,31721
Honda,Hornet 2.0,184,7,6136,2,Excellent,138120,117613
Hero,Splendor Plus,97,29,22805,2,Excellent,97460,57279
Royal Enfield,Hunter 350,349,5,4163,1,Good,242820,206151
Royal Enfield,Classic 350,349,67,43356,3,Fair,242820,46744
Honda,Hornet 2.0,184,40,38236,1,Good,138120,60860
TVS,Apache RTR 200 4V,197,67,71971,2,Good,125460,28024
Yamaha,R15 V4,155,35,33777,1,Good,142900,70837
Honda,Hornet 2.0,184,14,17291,1,Excellent,138120,111339
Royal Enfield,Meteor 350,349,8,5657,1,Good,242820,197719
Honda,SP 125,124,70,61391,2,Good,127320,29062
Honda,SP 125,124,74,40054,1,Fair,127320,28353
Royal Enfield,Meteor 350,349,1,1000,1,Excellent,242820,239474
Royal Enfield,Classic 350,349,47,45739,3,Fair,242820,67618
Suzuki,V-Strom SX,249,6,6659,1,Good,149820,125003
Hero,Splendor Plus,97,44,40924,3,Fair,97460,29658
Suzuki,Gixxer,155,16,8111,2,Excellent,132900,99466
TVS,Sport,109,69,51466,2,Good,109620,25524
BMW,G 310 R,313,28,26000,3,Good,406340,203611
Honda,Shine,123,31,24303,2,Excellent,127140,71770
Hero,HF Deluxe,97,52,53828,1,Fair,97460,26475
Royal Enfield,Meteor 350,349,37,40654,1,Good,242820,113866
Hero,Passion Pro,110,51,42498,2,Fair,99800,26891
Honda,Hornet 2.0,184,59,54158,2,Good,138120,31989
Bajaj,Pulsar 125,125,73,69074,1,Poor,122500,21882
BMW,G 310 R,313,62,38887,2,Fair,406340,85253
Yamaha,FZ-FI,149,4,3106,1,Excellent,141820,134257
BMW,G 310 R,313,68,84719,1,Fair,406340,82650
Hero,HF Deluxe,97,88,85203,2,Poor,97460,15822
TVS,Radeon,109,42,41837,2,Fair,109620,37808
Bajaj,Pulsar 125,125,44,26467,2,Fair,122500,41409
Suzuki,V-Strom SX,249,79,84077,1,Fair,149820,30515
Hero,HF Deluxe,97,31,33003,1,Good,97460,52387
TVS,Apache RTR 200 4V,197,25,29659,4,Good,125460,59008
TVS,Radeon,109,13,14843,1,Excellent,109620,90047
TVS,Sport,109,78,85466,1,Fair,109620,22261
Suzuki,Gixxer,155,34,24395,2,Excellent,132900,70708
Hero,Splendor Plus,97,76,60803,3,Fair,97460,18122
BMW,G 310 R,313,19,14786,2,Excellent,406340,287024
Bajaj,Pulsar NS200,199,34,29101,4,Fair,135820,47544
Honda,SP 125,124,96,76793,1,Fair,127320,26333
KTM,RC 200,199,33,28798,1,Fair,245820,112623
Triumph,Speed 400,398,24,17290,1,Excellent,311640,214982
Bajaj,Pulsar 150,149,46,26088,2,Excellent,126820,50898
Yamaha,FZ-FI,149,30,23901,1,Good,141820,79042
Hero,Splendor Plus,97,4,4110,1,Good,97460,83806
KTM,RC 200,199,37,29003,2,Excellent,245820,121768
KTM,RC 200,199,7,7568,3,Good,245820,175839
Yamaha,FZ-FI,149,92,83386,3,Poor,141820,21392
Suzuki,V-Strom SX,249,24,21063,1,Excellent,149820,102627
Bajaj,Pulsar 125,125,43,36964,1,Excellent,122500,55345
Hero,Passion Pro,110,55,41035,1,Good,99800,28597
Triumph,Speed 400,398,86,62291,2,Poor,311640,53059
TVS,Apache RTR 160,159,69,73865,1,Fair,118620,24683
TVS,Radeon,109,26,28098,1,Good,109620,65159
Hero,Splendor Plus,97,36,27831,1,Good,97460,47851
Honda,Shine,123,72,65367,2,Fair,127140,25307
Yamaha,FZ-FI,149,79,40693,1,Fair,141820,31543
Hero,Passion Pro,110,86,78940,2,Fair,99800,19315
Yamaha,FZ-FI,149,54,54308,4,Good,141820,31969
TVS,Apache RTR 200 4V,197,29,28423,4,Good,125460,55091
Yamaha,FZ-FI,149,33,40122,1,Excellent,141820,79473
Hero,HF Deluxe,97,34,21399,1,Excellent,97460,55473
TVS,Apache RTR 200 4V,197,66,68298,1,Good,125460,30039
TVS,Apache RTR 200 4V,197,89,64284,2,Fair,125460,25028
Yamaha,MT-15,155,2,2412,2,Excellent,142900,130532
Hero,Splendor Plus,97,56,31771,4,Fair,97460,18806
Hero,Passion Pro,110,62,32485,3,Fair,99800,19619
Bajaj,Pulsar 150,149,77,68202,4,Poor,126820,17702
Suzuki,V-Strom SX,249,50,34398,1,Fair,149820,44973
TVS,Radeon,109,87,55497,3,Fair,109620,20602
Honda,Hornet 2.0,184,84,69571,1,Fair,138120,28997
TVS,Radeon,109,76,76912,1,Fair,109620,22666
TVS,Apache RTR 160,159,87,96440,4,Fair,118620,18350
Royal Enfield,Himalayan,452,2,2195,1,Excellent,261360,254079
TVS,Apache RTR 200 4V,197,51,62180,1,Fair,125460,34584
Hero,Splendor Plus,97,70,67122,2,Good,97460,21988
Royal Enfield,Classic 350,349,50,38938,3,Fair,242820,62863
Hero,HF Deluxe,97,72,88788,1,Fair,97460,19652
TVS,Apache RTR 200 4V,197,72,44829,2,Fair,125460,26019
KTM,Duke 200,199,75,62495,2,Poor,245820,41835
Royal Enfield,Hunter 350,349,50,57847,1,Fair,242820,69611
Triumph,Speed 400,398,80,74637,2,Fair,311640,60860
Suzuki,V-Strom SX,249,54,64630,1,Fair,149820,37281
Bajaj,Dominar 400,373,28,28569,4,Excellent,167140,82113
Hero,Splendor Plus,97,34,21577,4,Fair,97460,34604
KTM,RC 200,199,48,25799,1,Excellent,245820,99387
KTM,390 Duke,399,84,49358,1,Fair,281820,61627
Honda,SP 125,124,81,64262,1,Fair,127320,27022
Hero,Passion Pro,110,11,11492,1,Good,99800,77199
Honda,SP 125,124,74,74122,3,Fair,127320,23037
TVS,Apache RTR 160,159,51,28638,2,Fair,118620,32826
Royal Enfield,Himalayan,452,59,44448,1,Fair,261360,57707
Bajaj,Dominar 400,373,20,11983,1,Excellent,167140,124286
Bajaj,Pulsar 125,125,20,20765,1,Excellent,122500,89620
BMW,G 310 R,313,63,42339,1,Good,406340,102476
Bajaj,Pulsar 150,149,11,13135,1,Excellent,126820,107477
Triumph,Speed 400,398,72,57338,2,Fair,311640,63049
Bajaj,Pulsar 125,125,56,54747,1,Fair,122500,28976
Royal Enfield,Meteor 350,349,80,69159,2,Fair,242820,47960
Yamaha,FZ-FI,149,27,24759,3,Fair,141820,63752
KTM,Duke 200,199,36,24908,1,Good,245820,121362
Honda,SP 125,124,69,35559,1,Fair,127320,28600
Suzuki,V-Strom SX,249,68,84782,1,Fair,149820,30469
Suzuki,Gixxer,155,15,14073,2,Excellent,132900,99844
BMW,G 310 R,313,77,66190,1,Poor,406340,73017
Bajaj,Dominar 400,373,47,23511,1,Good,167140,63508
Honda,Shine,123,36,25622,1,Excellent,127140,68884
TVS,Apache RTR 200 4V,197,44,51775,2,Good,125460,45933
TVS,Apache RTR 200 4V,197,51,53476,1,Fair,125460,35194
KTM,RC 200,199,59,36531,2,Fair,245820,51810
BMW,G 310 R,313,78,84037,2,Fair,406340,77803
Honda,SP 125,124,2,1216,1,Excellent,127320,123992
Hero,Splendor Plus,97,1,1069,1,Excellent,97460,96105
KTM,Duke 200,199,59,53405,2,Fair,245820,50125
Hero,Passion Pro,110,25,28478,2,Good,99800,56695
TVS,Sport,109,89,98521,1,Fair,109620,21643
Bajaj,Pulsar 125,125,60,39775,2,Fair,122500,25657
Honda,SP 125,124,17,19727,1,Excellent,127320,97748
Suzuki,V-Strom SX,249,31,38356,1,Good,149820,79707
Hero,Passion Pro,110,63,37953,4,Fair,99800,17406
Royal Enfield,Hunter 350,349,54,38025,2,Good,242820,68109
Hero,Passion Pro,110,76,51746,3,Fair,99800,18897
BMW,G 310 R,313,68,82661,1,Good,406340,94425
Honda,Shine,123,62,42903,1,Good,127140,32028
Bajaj,Pulsar NS200,199,48,42686,1,Excellent,135820,53162
Royal Enfield,Classic 350,349,41,49701,1,Good,242820,102208
Honda,Hornet 2.0,184,28,27014,1,Excellent,138120,87252
Yamaha,FZ-FI,149,85,79264,2,Poor,141820,23315
Royal Enfield,Hunter 350,349,54,53265,1,Fair,242820,61822
BMW,G 310 R,313,54,60241,1,Good,406340,116045
Suzuki,V-Strom SX,249,36,20278,1,Good,149820,74612
TVS,Radeon,109,90,107596,1,Poor,109620,18031
Bajaj,Pulsar 150,149,77,81710,2,Fair,126820,24402
Royal Enfield,Himalayan,452,49,44109,3,Good,261360,78481
Hero,Splendor Plus,97,9,6648,2,Excellent,97460,80740
Bajaj,Pulsar 125,125,92,83913,2,Fair,122500,23461
Royal Enfield,Hunter 350,349,43,30764,4,Good,242820,78799
KTM,Duke 250,249,6,7003,2,Good,254820,199729
KTM,RC 200,199,70,49264,3,Good,245820,53207
Yamaha,FZ-FI,149,1,1000,3,Good,141820,110731
TVS,Sport,109,74,76499,1,Poor,109620,19283
KTM,390 Duke,399,49,48385,1,Fair,281820,84797
Bajaj,Pulsar 150,149,52,42140,1,Fair,126820,35253
Triumph,Speed 400,398,32,29490,1,Excellent,311640,181780
Hero,HF Deluxe,97,11,6272,1,Good,97460,76112
TVS,Radeon,109,75,77479,2,Fair,109620,21281
KTM,390 Duke,399,31,20707,2,Excellent,281820,160163
Royal Enfield,Hunter 350,349,2,1263,4,Excellent,242820,184433
Honda,SP 125,124,6,6511,1,Excellent,127320,116768
KTM,390 Duke,399,35,27405,1,Excellent,281820,155392
Royal Enfield,Himalayan,452,73,43819,1,Poor,261360,49112
TVS,Sport,109,31,35102,2,Good,109620,55166
Yamaha,MT-15,155,16,17261,1,Excellent,142900,111875
KTM,390 Duke,399,94,64307,1,Fair,281820,59807
Suzuki,Gixxer,155,13,12070,1,Excellent,132900,109730
Bajaj,Dominar 400,373,82,92638,2,Fair,167140,31419
TVS,Apache RTR 200 4V,197,91,76192,1,Fair,125460,25980
KTM,390 Duke,399,72,61985,3,Fair,281820,52278
Hero,HF Deluxe,97,27,19830,1,Fair,97460,50825
